Group,Subgroup,Mean distance (cm),Female Left-only presence,Male Left-only presence,Female Right-only presence,Male Right-only presence,Female Bilateral presence,Male Bilateral presence,Female Total presence,Male Total presence
Sympathetic,Superior Cervical Ganglion,4.06,27% (4),8% (1),7% (1),0% (0),60% (9),92% (12),93% (14),100% (13)
Sympathetic,Sympathetic Trunk,8.85,13% (2),15% (2),20% (3),31% (4),13% (2),15% (2),47% (7),62% (8)
Muscular,Pharyngeal,3.01,20% (3),0% (0),27% (4),8% (1),40% (6),62% (8),87% (13),69% (9)
Muscular,Laryngeal (SLN),3.94,7% (1),0% (0),0% (0),0% (0),93% (14),100% (13),100% (15),100% (13)
Muscular,Ansa Cervicalis,8.47,7% (1),8% (1),0% (0),23% (3),20% (3),8% (1),27% (4),38% (5)
Muscular,Laryngeal,12.41,7% (1),23% (3),13% (2),23% (3),7% (1),8% (1),27% (4),54% (7)
Muscular,Laryngeal (RLN),20.2,7% (1),0% (0),0% (0),0% (0),93% (14),100% (13),100% (15),100% (13)
Vascular,Carotid Sinus,5.29,7% (1),23% (3),27% (4),23% (3),7% (1),15% (2),40% (6),62% (8)
Vascular,Internal Carotid Artery,5.43,27% (4),8% (1),33% (5),15% (2),27% (4),31% (4),87% (13),54% (7)
Vascular,Carotid Bifurcation,6.36,0% (0),15% (2),33% (5),8% (1),20% (3),15% (2),53% (8),38% (5)
Vascular,Multiple Branches To Carotid Artery,8.21,7% (1),31% (4),0% (0),8% (1),33% (5),15% (2),40% (6),54% (7)
Vascular,Internal Jugular Vein,10.84,27% (4),8% (1),20% (3),8% (1),27% (4),31% (4),73% (11),46% (6)
Vascular,Common Carotid,10.99,27% (4),15% (2),13% (2),23% (3),47% (7),46% (6),87% (13),85% (11)
Vascular,General Vascular,15.97,13% (2),23% (3),13% (2),23% (3),13% (2),8% (1),40% (6),54% (7)
Vascular,Aorta,22.16,47% (7),62% (8),7% (1),0% (0),0% (0),0% (0),53% (8),62% (8)
Cardiac,Superficial Cardiac Plexus,16.28,60% (9),54% (7),0% (0),15% (2),27% (4),8% (1),87% (13),77% (10)
Cardiac,General Cardiac,19.65,20% (3),31% (4),0% (0),0% (0),20% (3),0% (0),40% (6),31% (4)
Cardiac,Deep Cardiac Plexus,19.67,13% (2),15% (2),7% (1),23% (3),20% (3),8% (1),40% (6),46% (6)
Cardiac,Cardiopulmonary,20.73,13% (2),0% (0),7% (1),15% (2),80% (12),85% (11),100% (15),100% (13)
Pulmonary,Pulmonary,25.36,13% (2),8% (1),27% (4),8% (1),53% (8),62% (8),93% (14),77% (10)
Esophageal,General Esophageal,24.57,13% (2),23% (3),20% (3),23% (3),40% (6),15% (2),73% (11),62% (8)
Esophageal,Cardiopulmonary (Esophageal),25.28,13% (2),8% (1),13% (2),15% (2),0% (0),8% (1),27% (4),31% (4)
Esophageal,Pulmonary (Esophageal),26.6,0% (0),0% (0),7% (1),8% (1),40% (6),38% (5),47% (7),46% (6)
Esophageal,Cardiac (Esophageal),27.18,13% (2),0% (0),0% (0),15% (2),7% (1),8% (1),20% (3),23% (3)
Esophageal,Esophageal Plexus,27.53,0% (0),8% (1),7% (1),0% (0),80% (12),92% (12),87% (13),100% (13)
