Overview,Total,Left (L),Right (R)
Donors,"28 (15F / 13M), median age 88 (57–98)",—,—
Vagus nerves analyzed,56,28,28
Branches,"2,177",997,"1,180"
Total nerve length (sum of segment lengths),32.65 (24.50–44.70),32.68 (24.50–44.05),32.62 (26.00–44.70)
Carotid bifurcation,6.25 (2.70–10.10),6.39 (2.70–10.10),6.11 (2.90–10.00)
Laryngeal prominence,8.62 (5.41–12.10),8.71 (6.00–11.40),8.54 (5.41–12.10)
Superior border of clavicle,15.60 (9.68–22.50),15.70 (12.00–19.80),15.50 (9.68–22.50)
Branch emergence (raw),17.53 (0.20–43.55),17.37 (0.50–43.55),17.66 (0.20–41.80)
Branch emergence (registered_v2),17.41 (0.32–32.68),17.27 (0.58–32.68),17.53 (0.32–32.62)
Branches by zone (%) Upper / Mid / Lower / Thoracic,18.1 / 6.8 / 14.0 / 61.1,20.1 / 6.7 / 16.0 / 57.2,16.5 / 6.9 / 12.2 / 64.4
Branch density (branches/cm/nerve) Upper / Mid / Lower / Thoracic,1.07 / 0.92 / 0.76 / 1.44,1.05 / 0.91 / 0.80 / 1.23,1.09 / 0.93 / 0.71 / 1.65
